sex,gene,module,logFC,DEG_FDR,dir,kME,GS_RA
Male,AARS2,brown,-0.449596247734546,4.63336720888251e-05,Down in RA,0.669,-0.469
Male,PTBP1,brown,-0.449206045753648,3.62215943277423e-07,Down in RA,0.897,-0.582
Male,ANKRD6,yellow,0.448975769253621,0.000106307332276644,Up in RA,0.555,0.344
Male,SIGIRR,brown,-0.448636285822193,5.12035265770074e-05,Down in RA,0.8,-0.452
Male,PFAS,brown,-0.448213201394557,0.000102993546986789,Down in RA,0.643,-0.491
Male,PITRM1,brown,-0.447960164867813,1.88316375039429e-05,Down in RA,0.806,-0.468
Male,PAK4,brown,-0.447672803156871,0.000901290627184409,Down in RA,0.458,-0.371
Male,OSBPL7,brown,-0.44727168054882,0.000261609875375237,Down in RA,0.718,-0.43
Male,WDR54,brown,-0.447192679596601,0.000127007302503241,Down in RA,0.711,-0.41
Male,ITPKB,brown,-0.446986772714718,3.76446342212952e-05,Down in RA,0.792,-0.443
Male,ARRDC4,yellow,0.446917031290801,0.025910221851203,Up in RA,0.492,0.284
Male,TECR,brown,-0.446236316165791,7.23008932777238e-05,Down in RA,0.834,-0.452
Male,CTNNBL1,brown,-0.44573086307004,2.24994008523063e-06,Down in RA,0.772,-0.465
Male,RBM6,brown,-0.445664567159094,3.47080052046012e-05,Down in RA,0.68,-0.428
Male,CHD3,brown,-0.444862103701253,5.32100435307373e-06,Down in RA,0.809,-0.412
Male,CD58,yellow,0.444760087758443,5.61533712857565e-05,Up in RA,0.803,0.487
Male,MAGED1,brown,-0.444679062819495,3.01207686131925e-06,Down in RA,0.804,-0.61
Male,YARS,brown,-0.444143446574774,7.01976419183589e-07,Down in RA,0.795,-0.499
Male,MSTO1,brown,-0.444123622182325,1.39346439768185e-06,Down in RA,0.722,-0.464
Male,BCOR,brown,-0.443959770365149,0.000306517659531673,Down in RA,0.53,-0.413
Male,IQGAP2,yellow,0.443845059182344,0.000103200034771907,Up in RA,0.659,0.381
Male,POLRMT,brown,-0.443740891534935,0.0010904925449191,Down in RA,0.577,-0.347
Male,PDGFC,yellow,0.443546391729187,0.0292776563423472,Up in RA,0.578,0.327
Male,ACAD9,brown,-0.443238402202436,5.31926955039651e-05,Down in RA,0.632,-0.436
Male,FXYD5,brown,-0.443165134316854,5.6210701123604e-06,Down in RA,0.858,-0.425
Male,GNG7,brown,-0.442800299535607,0.0019424835076344,Down in RA,0.481,-0.412
Male,ACO2,brown,-0.442309598409423,4.03901947296208e-05,Down in RA,0.736,-0.442
Male,IPO9,brown,-0.442230812838615,3.18460631853317e-05,Down in RA,0.751,-0.452
Male,NUDC,brown,-0.442206069962749,2.58878736349665e-06,Down in RA,0.839,-0.511
Male,IL2RB,brown,-0.441962540401291,0.00445126735980463,Down in RA,0.618,-0.351
Male,SCAMP3,brown,-0.441918725016256,6.10080130850845e-06,Down in RA,0.895,-0.473
Male,NSUN3,yellow,0.441511065356228,0.00146989751473958,Up in RA,0.513,0.384
Male,IRF3,brown,-0.441296141485341,1.27239475814267e-05,Down in RA,0.835,-0.526
Male,AP3D1,brown,-0.440999167395429,3.78024008237153e-07,Down in RA,0.749,-0.558
Male,ITGB7,brown,-0.440837767344065,0.000147744482243156,Down in RA,0.838,-0.512
Male,SAP30,yellow,0.440318212591201,0.00133230412987799,Up in RA,0.564,0.456
Male,FAM53B,brown,-0.440069734018297,6.06714376186327e-06,Down in RA,0.732,-0.416
Male,WDR6,brown,-0.440067584237735,2.68472058545149e-05,Down in RA,0.8,-0.552
Male,YLPM1,brown,-0.439556484422184,5.96164208881277e-06,Down in RA,0.812,-0.554
Male,NIN,yellow,0.439406573168702,5.13315818334398e-06,Up in RA,0.886,0.492
Male,ZNF580,brown,-0.438744841038335,2.30821922376778e-06,Down in RA,0.587,-0.399
Male,PRDM10,yellow,0.438706678040866,1.62335398370452e-05,Up in RA,0.818,0.348
Male,D2HGDH,brown,-0.438052462443971,0.000122977975149118,Down in RA,0.633,-0.402
Male,ATP2B1,yellow,0.437905340638984,7.60616931104633e-05,Up in RA,0.529,0.193
Male,AZIN1,yellow,0.437748136026224,1.47809617413927e-05,Up in RA,0.712,0.371
Male,ACSL3,yellow,0.437514217651599,5.27779264630187e-05,Up in RA,0.797,0.473
Male,KRI1,brown,-0.437221897882563,5.68366535524941e-05,Down in RA,0.67,-0.471
