gene,MHC_gene,instrument_chr,nSNP_primary,method_primary,OR_primary,OR_lo_primary,OR_hi_primary,p_primary,FDR_primary,nSNP_noMHC,method_noMHC,OR_noMHC,OR_lo_noMHC,OR_hi_noMHC,p_noMHC,FDR_noMHC,estimate_unchanged,verdict,direction_consistent
CD4,FALSE,12,2,Inverse variance weighted,0.901,0.674,1.204,0.481,0.888,2,Inverse variance weighted,0.901,0.674,1.204,0.481,0.892,TRUE,ns in both,TRUE
TMEM170B,FALSE,6,3,Inverse variance weighted,1.04,0.933,1.159,0.481,0.888,3,Inverse variance weighted,1.04,0.933,1.159,0.481,0.892,TRUE,ns in both,TRUE
APEH,FALSE,3,2,Inverse variance weighted,1.023,0.96,1.092,0.482,0.888,2,Inverse variance weighted,1.023,0.96,1.092,0.482,0.892,TRUE,ns in both,TRUE
MFGE8,FALSE,15,2,Inverse variance weighted,1.034,0.941,1.137,0.483,0.888,2,Inverse variance weighted,1.034,0.941,1.137,0.483,0.892,TRUE,ns in both,TRUE
MMP17,FALSE,12,2,Inverse variance weighted,1.108,0.832,1.474,0.483,0.888,2,Inverse variance weighted,1.108,0.832,1.474,0.483,0.892,TRUE,ns in both,TRUE
OGFOD1,FALSE,16,2,Inverse variance weighted,1.07,0.886,1.293,0.483,0.888,2,Inverse variance weighted,1.07,0.886,1.293,0.483,0.892,TRUE,ns in both,TRUE
BANF1,FALSE,11,2,Inverse variance weighted,1.088,0.859,1.379,0.484,0.888,2,Inverse variance weighted,1.088,0.859,1.379,0.484,0.892,TRUE,ns in both,TRUE
PTGS2,FALSE,1,2,Inverse variance weighted,1.098,0.844,1.43,0.485,0.888,2,Inverse variance weighted,1.098,0.844,1.43,0.485,0.892,TRUE,ns in both,TRUE
ZFYVE19,FALSE,15,3,Inverse variance weighted,0.982,0.935,1.033,0.485,0.888,3,Inverse variance weighted,0.982,0.935,1.033,0.485,0.892,TRUE,ns in both,TRUE
TMEM150A,FALSE,2,2,Inverse variance weighted,0.946,0.808,1.107,0.486,0.888,2,Inverse variance weighted,0.946,0.808,1.107,0.486,0.892,TRUE,ns in both,TRUE
FBXW5,FALSE,9,1,Wald ratio,0.919,0.722,1.169,0.49,0.888,1,Wald ratio,0.919,0.722,1.169,0.49,0.892,TRUE,ns in both,TRUE
KDSR,FALSE,18,1,Wald ratio,0.969,0.885,1.06,0.49,0.888,1,Wald ratio,0.969,0.885,1.06,0.49,0.892,TRUE,ns in both,TRUE
KIDINS220,FALSE,2,1,Wald ratio,0.839,0.511,1.38,0.49,0.888,1,Wald ratio,0.839,0.511,1.38,0.49,0.892,TRUE,ns in both,TRUE
LYSMD2,FALSE,15,1,Wald ratio,1.301,0.616,2.747,0.49,0.888,1,Wald ratio,1.301,0.616,2.747,0.49,0.892,TRUE,ns in both,TRUE
SAMD1,FALSE,19,1,Wald ratio,0.6,0.141,2.56,0.49,0.888,1,Wald ratio,0.6,0.141,2.56,0.49,0.892,TRUE,ns in both,TRUE
SKIL,FALSE,3,1,Wald ratio,0.895,0.653,1.227,0.49,0.888,1,Wald ratio,0.895,0.653,1.227,0.49,0.892,TRUE,ns in both,TRUE
YTHDF3,FALSE,8,1,Wald ratio,1.058,0.901,1.243,0.49,0.888,1,Wald ratio,1.058,0.901,1.243,0.49,0.892,TRUE,ns in both,TRUE
ZAP70,FALSE,2,1,Wald ratio,0.97,0.889,1.058,0.49,0.888,1,Wald ratio,0.97,0.889,1.058,0.49,0.892,TRUE,ns in both,TRUE
EMP3,FALSE,19,2,Inverse variance weighted,0.906,0.683,1.202,0.493,0.888,2,Inverse variance weighted,0.906,0.683,1.202,0.493,0.892,TRUE,ns in both,TRUE
EAPP,FALSE,14,2,Inverse variance weighted,0.899,0.66,1.224,0.499,0.888,2,Inverse variance weighted,0.899,0.66,1.224,0.499,0.892,TRUE,ns in both,TRUE
UBE2I,FALSE,16,2,Inverse variance weighted,1.031,0.945,1.124,0.499,0.888,2,Inverse variance weighted,1.031,0.945,1.124,0.499,0.892,TRUE,ns in both,TRUE
ALKBH5,FALSE,17,1,Wald ratio,0.954,0.831,1.095,0.5,0.888,1,Wald ratio,0.954,0.831,1.095,0.5,0.892,TRUE,ns in both,TRUE
ANGPT1,FALSE,8,3,Inverse variance weighted,0.966,0.874,1.068,0.5,0.888,3,Inverse variance weighted,0.966,0.874,1.068,0.5,0.892,TRUE,ns in both,TRUE
CNTROB,FALSE,17,1,Wald ratio,0.808,0.434,1.502,0.5,0.888,1,Wald ratio,0.808,0.434,1.502,0.5,0.892,TRUE,ns in both,TRUE
COG4,FALSE,16,1,Wald ratio,0.969,0.883,1.063,0.5,0.888,1,Wald ratio,0.969,0.883,1.063,0.5,0.892,TRUE,ns in both,TRUE
MZF1,FALSE,19,2,Inverse variance weighted,1.048,0.915,1.201,0.5,0.888,2,Inverse variance weighted,1.048,0.915,1.201,0.5,0.892,TRUE,ns in both,TRUE
PITPNB,FALSE,22,1,Wald ratio,1.078,0.866,1.343,0.5,0.888,1,Wald ratio,1.078,0.866,1.343,0.5,0.892,TRUE,ns in both,TRUE
RAB12,FALSE,18,1,Wald ratio,1.088,0.852,1.389,0.5,0.888,1,Wald ratio,1.088,0.852,1.389,0.5,0.892,TRUE,ns in both,TRUE
MCTP1,FALSE,5,2,Inverse variance weighted,0.955,0.836,1.092,0.501,0.888,2,Inverse variance weighted,0.955,0.836,1.092,0.501,0.892,TRUE,ns in both,TRUE
MPRIP,FALSE,17,2,Inverse variance weighted,1.102,0.829,1.465,0.502,0.888,2,Inverse variance weighted,1.102,0.829,1.465,0.502,0.892,TRUE,ns in both,TRUE
