gene,module,GS_RA,kME_own,is_disease_module
SOBP,grey,-0.209,0.265,FALSE
SOCS1,pink,0.151,0.606,FALSE
SOCS2,turquoise,0.405,0.649,FALSE
SOCS3,red,0.095,0.573,FALSE
SOCS4,turquoise,0.402,0.907,FALSE
SOCS5,turquoise,0.495,0.791,FALSE
SOCS6,turquoise,0.347,0.74,FALSE
SOCS7,brown,-0.305,0.433,TRUE
SOD1,turquoise,-0.007,0.536,FALSE
SOD2,blue,0.004,0.442,FALSE
SOD3,grey,0.051,0.125,FALSE
SOHLH1,grey,-0.069,0.167,FALSE
SOHLH2,grey,-0.156,0.042,FALSE
SON,turquoise,-0.134,0.502,FALSE
SORBS1,grey,-0.059,0.521,FALSE
SORBS2,grey,-0.032,0.016,FALSE
SORBS3,brown,-0.372,0.595,TRUE
SORCS1,grey,0.11,0.066,FALSE
SORCS2,grey,-0.018,-0.027,FALSE
SORCS3,grey,0.234,0.108,FALSE
SORD,tan,-0.146,0.842,FALSE
SORL1,blue,-0.118,0.507,FALSE
SORT1,blue,-0.107,0.786,FALSE
SOS1,grey,0.079,-0.225,FALSE
SOS2,red,0.374,0.821,FALSE
SOST,grey,0.042,0.175,FALSE
SOSTDC1,grey,0.121,0.22,FALSE
SOX1,grey,0.017,-0.095,FALSE
SOX10,grey,-0.164,-0.139,FALSE
SOX11,grey,0.037,0.303,FALSE
SOX12,brown,-0.324,0.399,TRUE
SOX13,blue,-0.236,0.444,FALSE
SOX14,grey,-0.032,-0.069,FALSE
SOX15,grey,-0.119,-0.164,FALSE
SOX17,blue,-0.192,0.398,FALSE
SOX18,grey,-0.135,-0.085,FALSE
SOX2,grey,0.09,-0.04,FALSE
SOX21,grey,0.016,0.377,FALSE
SOX3,grey,-0.079,-0.058,FALSE
SOX30,grey,-0.025,0.315,FALSE
SOX4,yellow,0.065,0.301,TRUE
SOX5,grey,0.031,0.046,FALSE
SOX6,black,-0.063,0.441,FALSE
SOX7,grey,-0.137,-0.038,FALSE
SOX8,green,-0.107,0.549,FALSE
SOX9,grey,0.168,0.361,FALSE
SP1,blue,-0.302,0.894,FALSE
SP100,pink,0.143,0.556,FALSE
SP110,blue,-0.254,0.692,FALSE
SP140,pink,-0.184,0.722,FALSE
SP140L,brown,-0.223,0.439,TRUE
SP2,blue,-0.318,0.782,FALSE
SP3,yellow,0.52,0.946,TRUE
SP4,turquoise,0.168,0.79,FALSE
SP5,grey,-0.085,-0.212,FALSE
SP6,grey,0.072,-0.053,FALSE
SP7,grey,0.14,0.026,FALSE
SP8,grey,-0.066,-0.017,FALSE
SPA17,grey,-0.019,0.073,FALSE
SPACA1,grey,0.059,0.208,FALSE
SPACA3,grey,-0.018,0.033,FALSE
SPACA4,grey,0.005,-0.014,FALSE
SPAG1,yellow,0.423,0.644,TRUE
SPAG16,turquoise,0.17,0.792,FALSE
SPAG17,grey,0.046,0.11,FALSE
SPAG4,grey,0.012,0.016,FALSE
SPAG5,grey,0,-0.241,FALSE
SPAG6,grey,0.171,0.297,FALSE
SPAG7,grey,0.143,-0.053,FALSE
SPAG8,grey,-0.07,-0.263,FALSE
SPAG9,yellow,0.327,0.77,TRUE
SPAM1,blue,0.019,0.315,FALSE
SPARC,magenta,-0.324,0.903,FALSE
SPARCL1,grey,-0.043,-0.099,FALSE
SPAST,yellow,0.515,0.877,TRUE
SPATA1,red,0.179,0.726,FALSE
SPATA12,grey,-0.155,-0.1,FALSE
SPATA13,grey,-0.014,-0.38,FALSE
SPATA16,grey,-0.115,0.049,FALSE
SPATA17,grey,-0.142,-0.009,FALSE
