gene,logFC,AveExpr,t,P.Value,adj.P.Val,sig,dir
FITM1,-0.111819585322467,5.08460400288367,-2.94659278057515,0.00362608747308875,0.00933039778620601,TRUE,Down in RA
REPS2,0.21650611032364,8.70626822630717,2.94632009119291,0.00362914063608314,0.00933672985907924,TRUE,Up in RA
CCDC142,-0.144679675305241,5.68763217576142,-2.94624968942159,0.00362992927126639,0.00933723484056333,TRUE,Down in RA
WDR37,-0.0594895234102348,8.77112967919289,-2.94606361029714,0.00363201447169199,0.00934107425636821,FALSE,ns
TNFRSF1A,-0.12227058258451,10.0411713201345,-2.94549997312982,0.00363833728575041,0.00935580923903485,TRUE,Down in RA
CMPK2,0.418116658670662,8.42299817605747,2.94541336075533,0.00363930978693439,0.00935678358692656,TRUE,Up in RA
IL17RA,-0.181113417187034,8.85853561362459,-2.94490493072307,0.00364502334861555,0.00936994504961301,TRUE,Down in RA
C1orf43,0.0571906261015845,11.0195964555898,2.94411477755809,0.00365391913978775,0.00939128116753209,FALSE,ns
ZNF33B,0.135621431891454,5.93343012788018,2.94325274353284,0.00366364688476603,0.00941415419055495,TRUE,Up in RA
SPG11,-0.0581329139499614,9.44091908621029,-2.94322034623407,0.00366401293910135,0.00941415419055495,FALSE,ns
WHAMM,-0.0923171862094663,8.77534731638408,-2.9413147318066,0.00368560339013207,0.00946808445871119,FALSE,ns
CHD6,-0.0998275756486262,7.40286166459715,-2.94040038274088,0.00369600423153935,0.00949325642850819,FALSE,ns
DHRS9,0.281956355153835,7.83269494064028,2.93820692452253,0.00372106487262266,0.00955606803309725,TRUE,Up in RA
DNAJC21,0.111115777205321,7.99223621164362,2.93805590857396,0.00372279597257015,0.00955895633093716,TRUE,Up in RA
LCP2,-0.0827077353009909,10.0236874769923,-2.9379810633259,0.00372365419918924,0.00955942639707235,FALSE,ns
GCM1,0.160930169682772,5.08248118650497,2.93793417569397,0.00372419193709455,0.00955942639707235,TRUE,Up in RA
RIF1,0.199202950903302,7.95174025876868,2.93770423222103,0.00372683010902483,0.00956464067218468,TRUE,Up in RA
RPL36,-0.0988072234718338,10.2167644066459,-2.93758667876594,0.00372817947684301,0.00956654616530625,FALSE,ns
PUS3,0.0908496091147538,7.14998731283253,2.93724475303918,0.00373210690539532,0.00957506529129986,FALSE,ns
EDN1,0.147478910264039,4.80359366223797,2.9358612012287,0.00374803740144835,0.00961437161253544,TRUE,Up in RA
SSR4,-0.0863242656367197,10.8875803596443,-2.93559472245165,0.00375111283892602,0.00961922217756356,FALSE,ns
TUBA8,-0.134364956562581,4.88175975384179,-2.93559160665103,0.00375114881212226,0.00961922217756356,TRUE,Down in RA
SCEL,0.0658808288773478,3.19538352609016,2.93515673373098,0.00375617270035896,0.00963053843132048,FALSE,ns
ASCC3,0.137518763420798,6.343987831131,2.93496050902361,0.00375844161266444,0.00963342225845483,TRUE,Up in RA
FAM89B,-0.0961481707382766,8.97252757634204,-2.93495375293916,0.00375851975445646,0.00963342225845483,FALSE,ns
GTPBP10,0.100117887068734,5.01550016080166,2.9336318816359,0.00377383736748121,0.0096711101322722,TRUE,Up in RA
ATP6V1E1,0.0700423410949767,9.40934824057155,2.93345626071225,0.00377587673047472,0.00967476347569458,FALSE,ns
EIF3J,0.105261689342133,7.78501653444864,2.93301044032926,0.00378105826654476,0.0096864653755152,TRUE,Up in RA
ZNF572,0.116483143260515,4.37361583346486,2.93287754692137,0.00378260407666259,0.0096876235882455,TRUE,Up in RA
MOV10,-0.180505144240686,5.94683923314859,-2.93286590449954,0.00378273952836713,0.0096876235882455,TRUE,Down in RA
TMEM50A,0.0565314357814529,10.9824849726257,2.93242261435318,0.00378790021631508,0.00969926431282887,FALSE,ns
FERMT1,0.0785897886067899,4.15824924955301,2.93102482212841,0.00380421527500381,0.00973945840180041,FALSE,ns
S100A10,-0.0998527682139608,10.761024615544,-2.93032026772773,0.00381246322601548,0.00975898957968203,FALSE,ns
CHIC1,0.193392788082349,7.30481230147122,2.92996787142401,0.00381659473846683,0.00976797903270865,TRUE,Up in RA
NOTCH2,-0.0990609866054686,10.1661000670227,-2.92955856894033,0.00382139856979231,0.00977857586497218,FALSE,ns
CAMK1,-0.153638275749347,6.40668175925717,-2.92946000759947,0.00382255617478253,0.00977857586497218,TRUE,Down in RA
SEMA4A,-0.200592735422801,7.82726361642604,-2.92945659711397,0.00382259623675433,0.00977857586497218,TRUE,Down in RA
RAB5C,-0.130386016837397,8.32212979586188,-2.92898942462133,0.00382808761081828,0.00979103440034538,TRUE,Down in RA
LACTB,0.109539991518983,8.34396982950977,2.9287773794045,0.0038305824774083,0.0097958260206663,TRUE,Up in RA
C15orf62,-0.0806752140909357,3.57889520295177,-2.92857696925253,0.00383294181786244,0.00980026956609337,FALSE,ns
YWHAZ,-0.0404601094222832,12.1486413606304,-2.92833045177649,0.00383584578508867,0.00980544654740739,FALSE,ns
GPR22,-0.127623697607569,4.84393435916452,-2.92829948846514,0.00383621067422834,0.00980544654740739,TRUE,Down in RA
ZNF358,-0.095489875820322,4.4318656620384,-2.92786291399112,0.00384135889972415,0.00981701367320877,FALSE,ns
DHRS7B,0.114036933461214,6.78374617210139,2.92708220240071,0.00385058107880024,0.00983898679609793,TRUE,Up in RA
ALG9,-0.120634698942404,6.71632621099331,-2.92553929478422,0.00386886638332926,0.00988410709893342,TRUE,Down in RA
PTK2B,-0.0957363850815177,9.43981865762301,-2.92499921505174,0.00387528574159123,0.00989890279447457,FALSE,ns
EIF4EBP1,-0.121517952879504,6.45235992433337,-2.9238771223165,0.00388865407034814,0.00992856215342638,TRUE,Down in RA
CTF1,-0.100852436680545,3.7302800572128,-2.92387504507741,0.00388867885716078,0.00992856215342638,TRUE,Down in RA
GABRD,-0.0747586979821645,3.44806662725884,-2.92386601825756,0.00388878657205192,0.00992856215342638,FALSE,ns
BRPF3,-0.106757295269478,7.04202309495085,-2.92358422669623,0.00389215049785591,0.00993554142472917,TRUE,Down in RA
MPP1,-0.190946209904393,10.25185420673,-2.92336952392748,0.00389471533020981,0.00994047891031367,TRUE,Down in RA
IGKC,-0.303410771778495,7.58848446086363,-2.92251778875937,0.00390490538625841,0.00996487349904343,TRUE,Down in RA
